Enlem,Boylam,Mahalle,Adres,Ortalama_Duraklama_Saniye,Toplam_Duraklama_Saniye,Kayit_Sayisi,Farkli_Arac_Sayisi,Yakit_Kaybi_Litre,Maliyet_Kaybi_TL,Verimsizlik_Skoru
40.2013210625,28.947209875,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",6.6875,107,16,8,0.075,3.38,3.2
40.2114115,28.952798875,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",5.6875,91,16,8,0.064,2.88,3.2
40.264008000000004,28.9693962,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",5.9,59,10,8,0.041,1.84,3.2
40.2071,28.941301,Üçevler Mh.,"Yg Göktaş Yapı İnşaat, Bursa Küçük Sanayi Sitesi, 29. Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",15319.758620689656,6664095,435,1,4664.866,209918.97,3.1
40.273376,28.954598,Geçit Mh.,"2. Gündoğdu Sk., Geçit Mh., Osmangazi, Bursa, Türkiye",49.857142857142854,698,14,7,0.489,22.0,2.8
40.2636047,28.969087000000002,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",7.1,71,10,7,0.05,2.25,2.8
40.1979951,28.939709699999998,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",4.8,48,10,7,0.034,1.53,2.8
40.19746554545455,28.93910690909091,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",8.090909090909092,89,11,7,0.062,2.79,2.8
40.2639908,28.9698038,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",6.3,63,10,7,0.044,1.98,2.8
40.26390928571429,28.969918857142858,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",10.357142857142858,145,14,7,0.102,4.59,2.8
40.263592076923075,28.968996,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",4.461538461538462,58,13,7,0.041,1.84,2.8
40.221269916666664,28.95380908333333,Işıktepe OSB Mh.,"Ata Blv., Işıktepe OSB Mh., Nilüfer, Bursa, Türkiye",7.166666666666667,86,12,7,0.06,2.7,2.8
40.2626122,28.967783700000002,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",11.6,116,10,7,0.081,3.64,2.8
40.272578499999995,28.9710227,Yenikent Mh.,"2. Gündoğdu Sk., Yenikent Mh., Osmangazi, Bursa, Türkiye",3.8,38,10,7,0.027,1.22,2.8
40.27352534375,28.95476853125,Geçit Mh.,"Şehit Onbaşı Mehmet Demircan Sk., Geçit Mh., Osmangazi, Bursa, Türkiye",505.3125,16170,32,7,11.319,509.36,2.8
40.26871525,28.948326964285712,Geçit Mh.,"Sanayi Cd., Geçit Mh., Osmangazi, Bursa, Türkiye",4.607142857142857,129,28,7,0.09,4.05,2.8
40.273677,28.954904666666668,Geçit Mh.,"5. Gönül Sk., Geçit Mh., Osmangazi, Bursa, Türkiye",7.75,93,12,7,0.065,2.92,2.8
40.26505825,28.97082175,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",7.25,58,8,7,0.041,1.84,2.8
40.26421473333333,28.969902066666666,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",30.866666666666667,463,15,7,0.324,14.58,2.8
40.2652956,28.97202765,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",65.65,1313,20,7,0.919,41.36,2.8
40.26258083333333,28.967300750000003,Yenikent Mh.,"Kent Katı Atık Depolama Tesisi, Yenikent Mh., Osmangazi, Bursa, Türkiye",6.083333333333333,73,12,7,0.051,2.3,2.8
40.23118366666667,28.98281658333333,Esentepe Mh.,"Fatih Sultan Mehmet Blv., Esentepe Mh., Nilüfer, Bursa, Türkiye",14.666666666666666,176,12,7,0.123,5.54,2.8
